Mes;Solicitudes_Informaci�n_Recibidas;Respondidas;En_Proceso;A�o
Enero;0;0;0;2019
Febrero;1;1;0;2019
Marzo;0;0;0;2019
Abril;0;0;0;2019
Mayo;1;1;0;2019
Junio;0;0;0;2019
Julio;1;1;0;2019
Agosto;1;1;0;2019
Septiembre;3;3;0;2019
Octubre;1;1;0;2019
Noviembre;3;3;0;2019
Diciembre;1;2;0;2019
Enero;0;0;0;2020
Febrero;0;0;0;2020
Marzo;0;0;0;2020
Abril;0;0;0;2020
Mayo;1;1;0;2020
Junio;1;1;0;2020
Julio;0;0;0;2020
Agosto;1;1;0;2020
Septiembre;1;1;0;2020
Octubre;1;1;0;2020
Noviembre;1;1;0;2020
Diciembre;1;1;0;2020
Enero;0;0;0;2021
Febrero;0;0;0;2021
Marzo;1;1;0;2021
Abril;0;0;0;2021
Mayo;1;1;0;2021
Junio;0;0;0;2021
Julio;0;0;0;2021
Agosto;0;0;0;2021
Septiembre;0;0;0;2021
Octubre;0;0;0;2021
Noviembre;0;0;0;2021
Diciembre;0;0;0;2021
Enero;0;0;0;2022
Febrero;0;0;0;2022
Marzo;0;0;0;2022
Abril;0;0;0;2022
Mayo;0;0;0;2022
Junio;0;0;0;2022
Julio;0;0;0;2022
Agosto;0;0;0;2022
Septiembre;0;0;0;2022
Octubre;0;0;0;2022
Noviembre;0;0;0;2022
Diciembre;0;0;0;2022
Enero;0;0;0;2023
Febrero;0;0;0;2023
Marzo;0;0;0;2023
Abril;0;0;0;2023
Mayo;0;0;0;2023
Junio;0;0;0;2023
Julio;0;0;0;2023
Agosto;0;0;0;2023
Septiembre;0;0;0;2023
