Fecha_Solicitud;Información_Solicitada;Tiempo_Respuesta ;Porcentaje_Cumplimiento
5/9/2019;Solictud sobre Proyecto Mecanismo Limpio ;1 dia;100
10/9/2019;Solicitud sobre Proceso de Registro de Acciones;1 dia;100
30/8/2019;Hay instrumentos o metodología para la fijación de precios de carbono para Rep. Dom . o a nivel internacional, caso de no existir para nuestro país?;1 dia ;100
30/8/2019;Solicitud de Cartas de No Objeción para Proyectos del Mecanismo de Desarrollo Limpio;1 dia;100
27/8/2019;Solicitud de información sobre información sobre: ¿Existe un mercado de carbono para Rep. Dom?;1 dia;100
7/2/2019;Solicitud de información sobre información sobre el cambio climático y la contaminación en nuestro país.;2 dias ;100
17/7/2019;Solicitud de información pública, sobre: Propósito de existencia de dicha institución, servicios que ofrece, últimos logros, presupuesto asignado a la institución, nomina del mes junio, compras realizadas en el mes de junio.;1 dia;100
6/7/2019;Solicitud sobre reporte de diagnóstico realizado por el Consejo sobre el conocimiento de la población sobre el tema de cambio climático.;1 dia;100
26/6/2019;"Solicitud de información sobre inundaciones provocadas por intensas lluvias en la presa de Rincón al sur del poblado de rincón, provincia de la Vega,
República Dominicana)";1 dia;100
25/6/2019;Solicitud sobre Proyecto de Ley de Cambio Climático;2 dias;100
19/6/2019;Solicitud de información sobre  regulación de emisiones  a la atmósfera. Ver si hay limitaciones en diferentes compuesto (NOx, SOx, amoniaco, alquitranes) y partículas. En definitiva, ¿cómo se regula en RD el tema de emisiones de equipos combustión ?;2 dias;100
17/6/2019;Solicitud de información pública, sobre: Los Efectos del Cambio Climático en los recursos hídricos de la Presa de Rincón;3 dias;100
15/5/2019;Solicitud de información pública, sobre: La función del Consejo se limita a llevar un registro o asesora la presentación de estos proyectos? Este consejo recibe algún apoyo de una institucional multilateral gubernamental, por ejemplo la OLADE? ;2 dias;100
15/5/2019;Solicitud de información pública, sobre: Hasta qué fecha se extienden los MDL?  ;1 dia;100
5/4/2019;"Solicitud de información pública,  sobre Estudio de vulnerabilidad y riesgo ante inundaciones provocadas por intensas lluvias en la presa de Rincón al sur del
poblado de rincón, provincia de la Vega, República Dominicana";1 dia ;100
25/4/2019;Solicitud de información pública, sobre: ¿Es fácil presentar un proyecto para MDL? La prioridad son los proyectos del sector público? de ciertas zonas del país en particular?;1 dia ;100
1/4/2019;Cómo han funcionado los MDL para RD? ;2 dias;100
29/3/2019;"Solicitud información ""La Tercerna Comunicacion Nacional""";3 dias;100
29/3/2019;Solicitud información Relación de las contrataciones de artistas o agrupación  artísticas realizadas por esta institución en el año 2018, detallado por datos de razón social y nombre comercial de persona contratada, datos del representante, monto del contrato y objeto de la contratación, y copia del/los contratos suscritos.;2 dias;100
26/3/2019;Solicitud de información sobre Funciones alterna de la Responsible de la OAI.;3 dias;100
26/3/2019;Solicitud información sobre descarga de documento no visualizado en la página web.;2 dias;100
25/3/2019;Solicitud de contacto Dpto. De Recursos Humanos.;1 dia;100
22/3/2019;Solicitud informacion,  preguntas diversas acerca de la Institucion y avaces logrado en el tema de Cambio Climatico en la Rep. Dom;1 dia;100
22/3/2019;Solicitud información sobre el alcance y acuerdos de la institcuión a nivel internacional.;5 dias;100
22/3/2019;Solicitud información sobre Sistema 311 y su comportamiento.;1 dia;100
20/3/2019;"Solicitud de documento sobre ""La Tercerna Comunicacion Nacional""";3 dias;100
20/3/2019;Solicitud información sobre ¿Cómo se registra un proyecto MDL?;1 dias;100
18/3/2019;Solicitud informacion sobre ¿Cómo lograr cita con el Vicepresidente Ejecutivo para tocar temas de Cambio Climático?;2 dias;100
15/3/2019;Solicitud información sobre ¿Cómo se registra un proyecto MDL?;2 dias;100
26/2/2019;Solicitud información sobre ¿Cómo lograr cita con el Vicepresidente Ejecutivo para tocar temas de Cambio Climático?;3 dias ;100
20/2/2019;"Solicitud información sobre ""La Tercerna Comunicacion Nacional""";2 dias ;100
11/2/2019;Solicitud información ?Cómo se registra un proyecto MDL?;2 dias;100
12/3/2019;Solicitud de ley 438-07;1 dias ;100
26/11/2019;información sobre la Evolución de las emisiones de CO2 en República Dominicana;1 dias ;100
11/18/2020;Quisiera que me provean un listado de los correos institucionales de los servidores públicos que trabajaran en los distintos departamentos de la institución. NO necesito nombres de ningún servidor público, ni cargos por igual. Solo necesito que me indiquen los correos electrónicos institucionales y los departamentos a los que pertenecen. No necesito la totalidad, sino, una muestra de 50 correos en adelante.;1 dias ;100
11/10/2020;"Buenas tardes, favor suministrar la siguiente información: Dentro de la ley general de presupuesto, partir del 2013, se comenzó a incluir dentro de los impuestos, ''El Impuesto Ecológico'', que según la norma 06-10 tiene como finalidad regular las emisiones de co2 de los vehículos. En el presupuesto 2021, está establecido el monto aproximado de los ingresos de este impuesto en las paginas 18, 25,101,104, 107,125, 189 etc. Mis preguntas son: Una vez DGII recauda dicho impuesto (entendiendo que esta es la institución encargada) Â¿A DÓNDE SE DESTINA EL MONTO RECAUDADO?; Â¿FORMA PARTE DEL FONDO DE DGII?;Â¿SE UTILIZA PARA PRESERVAR EL MEDIO AMBIENTE Y EL CONSEJO DE CAMBIO CLIMATICO?";1 dia;100
10/27/2020;"Buenas, Me interesaría obtener información sobre los planes que se están llevando a acabo para cumplir con el objetivo numero 11: Ciudades y comunidades sostenibles, mas específicamente sobre el indicador numero 11.6.1 : ""Proporción de residuos sólidos urbanos recolectados regularmente y con descarga final adecuada del total de residuos sólidos urbanos generados, desglosada por ciudad"".

Dentro de los archivos me gustaría recibir los planes a corto y largo plazo que se están aplicando y los resultados hasta el momento y proyecciones futuras (si es posible incluir gráficos ).

En caso de poder acceder a mas información online de manera directa, les agradecería de sobremanera si me facilitaran los links.";1 dia;100
10/21/2019;información sobre el procedimiento que ha de realizar una empresa privada si quiere conseguir los Certificados de Emisiones Reducidas (CERs);1 dia;100
10/20/2020;NECESITO UN JUEGO COMPLETO DE LOS ORIGINALES;1 dia;100
10/12/2020;NECESITO LA COPIA CERTIFICADA;1 dia;100
10/10/2020;COPIA CERTIFICADA;1 dia;100
1/28/2019;Solicitud información sobre cantidad de servidores con que cuenta la institución.;1 dia;100
1/22/2019;Solicitud información sobre Presupuesto Institcucional.;1 dia;100
1/17/2019;Solicitud información sobre los diferentes Proyectos que desarrolla el CNCCMDL.;1 dia;100
07/21/2020;Estadísticas generadas con relación a los avances en temas de cambio climático en el país, así cómo la base de datos de organizaciones y asociaciones que trabajan los temas ambientales o cambio climático en el país. Muchas gracias anticipadas.;1 dia;100
06/23/2020;Factor de emisiones del SENI (t CO2/MWh);1 dia;100
01/19/2020;Información sobre sistema de clasificación de la basura;1 dia;100
8/2/2021;Buenas tardes, estoy interesada en la metodologia para el calculo de la huella de carbono y emisiones de CO2 de la Republica Dominicana utilizada en el documento de la contribucion nacional determinada.  O si poseen algun otro tipo de documento relacionado al calculo de la huella de carbono,calculo de emisiones del transporte, etc.;1 dia;100
12/5/2021;Necesito conocer el factor de emisión 2020 ó 2021 en el sector de energía Rep. Dominicana. Un catedrático español me indicó podía conocer el factor de emisión a través de la distribuidora de energía (Edeeste, en este caso) que suple a la organización de interés. Sin embargo, Edeeste me informó no maneja la información de factores de emisión porque no son generadores de energía. ;1 dia;100
28/5/2021;Proyecto Completo implementado o en implementación  en Rep. Dominicana sobre Mecanismo de Desarrollo Limpio y Mercado de Carbono. Todos los pasos o procesos requeridos. ;1 dia;100
3/6/2021;Que mecanismos se estan implementando a nivel nacional para mitigar los efectos del cambio climatico, producidos en consecuencia del uso de fuentes NO renovables de energia.;1 dia;100
16/6/2021;1.Producción local de desechos plásticos 2.Generacion de desechos plásticos por tipo y provincia 3.Volumen de residuos solidos en RD por vertedero 4.Costo de producción y materia prima;1 dia;100
21/7/2021;Solicito información relacionada al cambio climático, ya sean, proyectos, investigaciones y otros, desarrollados en el Municipio Villa La Mata, Provincia Sánchez Ramírez , los mismos me servirán de apoyo a la investigación.;1 dia;100
11/10/2021;"Favor confirmar si actualmente están disponibles los créditos de mecanismo de desarrollo limpio, en caso de que estén  ¿Cuál es el proceso para someter un Proyecto de Mecanismo de Desarrollo Limpio?; y ¿Qué tipo de iniciativas pueden aplicar a estos créditos?";1 dia;100
3/11/2021;- Política turística en referencia al desarrollo sostenible de la hostelería (gestión del territorio, uso y gestión de residuos) - Cantidad de establecimientos hoteleros fuera del ámbito de sol y playa, por ejemplo: turismo cultural o rural - Número de turistas en búsqueda de otra tipología de vacaciones que no sea sol y playa  - Impacto medioambiental del turismo en la isla  - Proyección futura referente al cambio climático y gestión medioambiental del país ;1 dia;100
14/3/2022;Medidas y Resoñuciones adoptadas como politicas publicas para mitigar los efectos del cambio climatico en RD y afianzar el pais en el campo internacional;1 dia;100
19/4/2022;investigación sobre la sostenibilidad ambiental del país ;1 dia;100
24/5/2022;¿Cómo está el estatus del acuerdo de país? ¿Se aplica en nuestro país dicho acuerdo, y de qué modo se aplica? Información de eficiencia energética en nuestro país y su impacto favorable con el medioambiente. Nivel o índice de riesgo climático del país. ;1 dia;100
24/6/2022;CONOCER LA CARTA COMPROMISO AL CIUDADANO;1 dia;100
5/8/2022;Estudios completos sobre las vulnerabilidades de las zonas costeros-marinas en la República Dominicana y cualquier otro estudio que hayan realizado y tenga que ver con el medio ambiente marino.;1 dia;100
20/8/2022;1. Han cogido préstamos en los últimos 3 años?  2. Cuál es la composición de esos préstamos?  3. Cuál es el monto actual de deuda a corto, mediano y largo plazo?  4. A qué organismos de intermediación financiera y no financiera han cogido préstamos?  5. Cuál es el origen de los fondos adeudados?  6. Cuál es el porcentaje de libramiento adeudado aplicado al gasto público de su institución?  7. Qué estrategia tienen para aplicar los fondos públicos a la porción corriente de la deuda a largo plazo y del gasto nominal? ;1 dia;100
28/3/2023;Nómina;1 dia;100
25/5/2023;Medidas generales implementadas por el estado dominicano para mitigar el cambio climático 2019-2021;1 dia;100
14/6/2023;Reportes, informes, estadísticas y/o estudios más recientes sobre medidas de adaptación al cambio climático en general a nivel nacional y local;21 dias;100
22/6/2023;convenios internacionales en materia DE MITIGACION Y adaptación al cambio climático , asumidos por período 2019-2021.;21 dias;100
2/8/2023;Nivel de cumplimiento e indice de ejecución de los compromisos internacionales y de políticas de estado en relación a los convenios asumidos para la mitigación y adaptación al cambio climático;21 dias;100
07/02/2024;Contacto del/ la responsable de la Comisión de Integridad Gubernamental;;
09/02/2024;Listado de los Acuerdos firmados por República Dominicana en Conferencia sobre el Cambio Climático de las Naciones Unidas;;
26/02/2024;1. ?Nuestro país renovó o sigue siendo miembro de los países que renovaron el acuerdo de país? De pendiendo la respuesta ?Cuándo paso esto? 2. ?El acuerdo de Kioto sigue vigente en nuestro país? 3. Con relación a la agenda 20-30 ?Cuáles avances llevamos en materia de cambio climático? 4. ?Cuáles proyectos en favor del cambio climático están vigentes o en ejecución en nuestro país? 5. ?Cuántos proyectos relacionados a el uso de energías limpias, reducción del consumo energético entre otros afines tenemos? 6. ?Tienen algún informe de a cantidad de CO2 que están generando las generadoras de electricidad en nuestro país? 7. ?Cantidad de CO2 que genera nuestro país en la región? 8. Retos a largo y corto plazo que tiene nuestro país ante el cambio climático 9. ?Qué está haciendo nuestro país para reducir los niveles de CO2 y la huella de carbono? 10. ?Hay algún estudio sobre la contaminación que provocan los vehículos en nuestro país? 11. Facilitarme artículos, informes y de mas que hablen del cambio climático en nuestro país. 12. Facilitarme cualquier informe sobre los estudios de la contaminación que genera Punta Catalina o cualquier planta a base de carbón.;;
07/03/2024;Solicito cortésmente los datos de climatología (temperatura, humedad, viento, etc.) y de hidrología (lluvias y caudales) de Azua debo investigar la cantidad de estaciones del INDRHI que están funcionando actualmente (midiendo lluvia y caudal) en la República Dominicana;;
09/03/2024;Completar formato adjunto, con informaciones solicitadas.;;
